epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,4056.46,1.14049,0.58422,0.96916,0.92161,0.86085,0.92306,0.60107,1.18169,0.53446,0.98329,0.000478762,0.000478762,0.000478762
74,4110.79,1.15137,0.5857,0.97548,0.91392,0.87219,0.92699,0.60796,1.17175,0.52615,0.98065,0.000462259,0.000462259,0.000462259
75,4170.32,1.14344,0.58441,0.96989,0.92418,0.86551,0.92691,0.60525,1.18387,0.53227,0.983,0.000445756,0.000445756,0.000445756
76,4227.86,1.14796,0.57896,0.9656,0.91973,0.86982,0.92935,0.6064,1.17795,0.52757,0.98281,0.000429253,0.000429253,0.000429253
77,4282.12,1.14916,0.58245,0.97271,0.92593,0.86338,0.92436,0.60094,1.17854,0.52742,0.98142,0.000412749,0.000412749,0.000412749
78,4336.72,1.13724,0.57127,0.96855,0.92114,0.86787,0.92596,0.60346,1.17564,0.52822,0.98066,0.000396246,0.000396246,0.000396246
79,4391.06,1.13109,0.57447,0.96443,0.92341,0.86924,0.92939,0.61056,1.16844,0.52073,0.97843,0.000379743,0.000379743,0.000379743
80,4452.34,1.13101,0.58357,0.96243,0.92605,0.86699,0.92948,0.60771,1.17197,0.52536,0.97922,0.000363239,0.000363239,0.000363239
81,4508,1.12291,0.56189,0.96499,0.92018,0.87175,0.92899,0.60651,1.17571,0.52221,0.97955,0.000346736,0.000346736,0.000346736
82,4562.47,1.1137,0.56396,0.96056,0.91463,0.87453,0.92938,0.60754,1.17786,0.52082,0.98037,0.000330233,0.000330233,0.000330233
83,4622.58,1.12309,0.56345,0.96415,0.92724,0.8665,0.92911,0.61167,1.17025,0.51847,0.97952,0.000313729,0.000313729,0.000313729
84,4679.8,1.1225,0.56031,0.96371,0.93163,0.86199,0.93131,0.61221,1.16946,0.51806,0.97855,0.000297226,0.000297226,0.000297226
85,4734.75,1.11589,0.55669,0.96115,0.92964,0.86135,0.92833,0.6094,1.17007,0.51853,0.97826,0.000280723,0.000280723,0.000280723
86,4789.08,1.12457,0.55724,0.96222,0.92203,0.87148,0.92928,0.60886,1.17264,0.51736,0.98016,0.00026422,0.00026422,0.00026422
87,4843.47,1.11741,0.55219,0.9614,0.93046,0.86309,0.92954,0.61085,1.16792,0.51832,0.9781,0.000247716,0.000247716,0.000247716
88,4898.11,1.11252,0.55266,0.96102,0.92219,0.8712,0.92885,0.60953,1.17016,0.51888,0.97948,0.000231213,0.000231213,0.000231213
89,4952.27,1.10037,0.5666,0.951,0.92148,0.87341,0.93001,0.61075,1.1703,0.51596,0.97853,0.00021471,0.00021471,0.00021471
90,5006.75,1.10643,0.54901,0.95827,0.91574,0.87669,0.92895,0.61173,1.16565,0.51717,0.97625,0.000198206,0.000198206,0.000198206
91,5083.66,1.09398,0.49592,0.95473,0.92128,0.86671,0.93007,0.60936,1.17054,0.51791,0.97786,0.000181703,0.000181703,0.000181703
92,5137,1.09896,0.49125,0.95837,0.92489,0.86842,0.93012,0.61327,1.16622,0.51602,0.97803,0.0001652,0.0001652,0.0001652
93,5190.36,1.08416,0.49037,0.9549,0.93321,0.85725,0.9315,0.61408,1.16374,0.51414,0.97664,0.000148696,0.000148696,0.000148696
94,5243.83,1.07255,0.48298,0.9525,0.92173,0.8654,0.93135,0.61391,1.16357,0.51284,0.97709,0.000132193,0.000132193,0.000132193
95,5296.82,1.07218,0.48163,0.95075,0.92057,0.87264,0.93132,0.61267,1.16504,0.51365,0.97814,0.00011569,0.00011569,0.00011569
96,5350.02,1.07446,0.47954,0.94891,0.91159,0.87838,0.93071,0.61379,1.16294,0.51258,0.97759,9.91865e-05,9.91865e-05,9.91865e-05
97,5403.07,1.07201,0.48161,0.95336,0.91922,0.87251,0.93086,0.61261,1.16412,0.51379,0.97782,8.26832e-05,8.26832e-05,8.26832e-05
98,5456.05,1.07182,0.47912,0.94917,0.92009,0.87078,0.92985,0.61347,1.16277,0.51299,0.97653,6.61799e-05,6.61799e-05,6.61799e-05
99,5509.52,1.06443,0.4798,0.9452,0.91932,0.87033,0.92979,0.61419,1.16358,0.51378,0.97737,4.96766e-05,4.96766e-05,4.96766e-05
100,5563.11,1.05895,0.47096,0.94756,0.91807,0.87011,0.92953,0.61425,1.16263,0.51317,0.97698,3.31733e-05,3.31733e-05,3.31733e-05
